compatibility,compatibility_surface,normalized_command,sblr_route,refusal_policy,source_search_key,compatibility_isolation,downstream_phase,cross_node_distributed_query_marker
apache_ignite,apache_ignite.admin.control_script,cluster.admin.refuse_reference_shell_control,sblr.cluster.control.v3:cluster.admin.refuse_reference_shell_control,exact_pre_provider_refusal_no_provider_call,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.control_script,own_compatibility_surface_only,FPR-P2,not_cluster_query
mongodb,udr_management_operation_set,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/udr/sbu_mongodb_parser_support/sbu_mongodb_parser_support.cpp#kManagementOperations,own_compatibility_surface_only,FPR-P2,not_cluster_query
mysql,udr_management_operation_set,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/udr/sbu_mysql_parser_support/sbu_mysql_parser_support.cpp#kManagementOperations,own_compatibility_surface_only,FPR-P2,not_cluster_query
neo4j,udr_management_operation_set,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/udr/sbu_neo4j_parser_support/sbu_neo4j_parser_support.cpp#kManagementOperations,own_compatibility_surface_only,FPR-P2,not_cluster_query
opensearch,udr_management_operation_set,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/udr/sbu_opensearch_parser_support/sbu_opensearch_parser_support.cpp#kManagementOperations,own_compatibility_surface_only,FPR-P2,not_cluster_query
opensearch,udr_management_operation_set,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/udr/sbu_opensearch_sql_ppl_parser_support/sbu_opensearch_sql_ppl_parser_support.cpp#kManagementOperations,own_compatibility_surface_only,FPR-P2,not_cluster_query
postgresql,udr_management_operation_set,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/udr/sbu_postgresql_parser_support/sbu_postgresql_parser_support.cpp#kManagementOperations,own_compatibility_surface_only,FPR-P2,not_cluster_query
redis,udr_management_operation_set,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/udr/sbu_redis_parser_support/sbu_redis_parser_support.cpp#kManagementOperations,own_compatibility_surface_only,FPR-P2,not_cluster_query
sqlite,udr_management_operation_set,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/udr/sbu_sqlite_parser_support/sbu_sqlite_parser_support.cpp#kManagementOperations,own_compatibility_surface_only,FPR-P2,not_cluster_query
tidb,udr_management_operation_set,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/udr/sbu_tidb_parser_support/sbu_tidb_parser_support.cpp#kManagementOperations,own_compatibility_surface_only,FPR-P2,not_cluster_query
tikv,udr_management_operation_set,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/udr/sbu_tikv_parser_support/sbu_tikv_parser_support.cpp#kManagementOperations,own_compatibility_surface_only,FPR-P2,not_cluster_query
vitess,udr_management_operation_set,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/udr/sbu_vitess_parser_support/sbu_vitess_parser_support.cpp#kManagementOperations,own_compatibility_surface_only,FPR-P2,not_cluster_query
xtdb,udr_management_operation_set,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/udr/sbu_xtdb_parser_support/sbu_xtdb_parser_support.cpp#kManagementOperations,own_compatibility_surface_only,FPR-P2,not_cluster_query
yugabytedb,udr_management_operation_set,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/udr/sbu_yugabytedb_parser_support/sbu_yugabytedb_parser_support.cpp#kManagementOperations,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,reference_surface:cluster_topology_or_control,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility-engines/apache_ignite/capability-summary.md#keyword:cluster,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,reference_surface:partition_distribution,cluster.placement.validate_partition_distribution,required_new:sblr.cluster.placement.v1:cluster.placement.validate_partition_distribution,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility-engines/apache_ignite/capability-summary.md#keyword:partition,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,reference_surface:cdc_stream,cluster.metrics.emit_event,sblr.cluster.report.v3:cluster.metrics.emit_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_catalog_seeds/apache_ignite/apache_ignite_beta2_full_seed_manifest.yaml#keyword:cdc,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,reference_surface:distributed_execution_or_control,cluster.query.plan_distributed,required_new:sblr.cluster.query.v1:cluster.query.plan_distributed,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/apache_ignite/2.17.0/release-notes/RELEASE_NOTES_SOURCE.md#keyword:distributed,own_compatibility_surface_only,FPR-P2,cross_node_distributed_cluster_authority_not_local_query
apache_ignite,reference_surface:raft_consensus,cluster.tx.validate_finality_proof,required_new:sblr.cluster.transaction.v1:cluster.tx.validate_finality_proof,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/apache_ignite/2.17.0/source/README.txt#keyword:raft,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,reference_surface:replication_control,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/apache_ignite/2.17.0/source/RELEASE_NOTES.txt#keyword:replication,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,reference_surface:range_placement,cluster.placement.assign_tablet_range,required_new:sblr.cluster.placement.v1:cluster.placement.assign_tablet_range,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/apache_ignite/2.17.0/source/RELEASE_NOTES.txt#keyword:range,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,reference_surface:placement_policy,cluster.security.validate_policy_version,required_new:sblr.cluster.security.v1:cluster.security.validate_policy_version,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/apache_ignite/2.17.0/source/RELEASE_NOTES.txt#keyword:placement,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,reference_surface:failover_control,cluster.node.admit_member,sblr.cluster.control.v3:cluster.node.admit_member,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/apache_ignite/2.17.0/source/RELEASE_NOTES.txt#keyword:failover,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,reference_surface:replica_control,cluster.tx.begin_distributed,required_new:sblr.cluster.transaction.v1:cluster.tx.begin_distributed,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/apache_ignite/2.17.0/source/RELEASE_NOTES.txt#keyword:replica,own_compatibility_surface_only,FPR-P2,not_cluster_query
apache_ignite,reference_surface:leader_election,cluster.node.set_role,sblr.cluster.control.v3:cluster.node.set_role,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/apache_ignite/2.17.0/source/examples/src/main/java/org/apache/ignite/examples/streaming/wordcount/alice-in-wonderland.txt#keyword:leader,own_compatibility_surface_only,FPR-P2,not_cluster_query
cassandra,reference_surface:cluster_topology_or_control,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_catalog_seeds/cassandra/cassandra_5_beta2_full_seed_manifest.yaml#keyword:cluster,own_compatibility_surface_only,FPR-P2,not_cluster_query
cassandra,reference_surface:replication_control,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_catalog_seeds/cassandra/cassandra_5_beta2_full_seed_manifest.yaml#keyword:replication,own_compatibility_surface_only,FPR-P2,not_cluster_query
cassandra,reference_surface:cdc_stream,cluster.metrics.emit_event,sblr.cluster.report.v3:cluster.metrics.emit_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_catalog_seeds/cassandra/cassandra_5_beta2_full_seed_manifest.yaml#keyword:cdc,own_compatibility_surface_only,FPR-P2,not_cluster_query
cassandra,reference_surface:placement_policy,cluster.security.validate_policy_version,required_new:sblr.cluster.security.v1:cluster.security.validate_policy_version,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_catalog_seeds/cassandra/cassandra_5_beta2_full_seed_manifest.yaml#keyword:placement,own_compatibility_surface_only,FPR-P2,not_cluster_query
cassandra,reference_surface:replica_control,cluster.tx.begin_distributed,required_new:sblr.cluster.transaction.v1:cluster.tx.begin_distributed,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_catalog_seeds/cassandra/cassandra_5_beta2_full_seed_manifest.yaml#keyword:replica,own_compatibility_surface_only,FPR-P2,not_cluster_query
cassandra,reference_surface:distributed_execution_or_control,cluster.query.plan_distributed,required_new:sblr.cluster.query.v1:cluster.query.plan_distributed,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/cassandra/5.0.8/license/LICENSE_SOURCE.txt#keyword:distributed,own_compatibility_surface_only,FPR-P2,cross_node_distributed_cluster_authority_not_local_query
cassandra,reference_surface:shard_placement,cluster.placement.assign_tablet_range,required_new:sblr.cluster.placement.v1:cluster.placement.assign_tablet_range,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/cassandra/5.0.8/release-notes/RELEASE_NOTES_SOURCE.txt#keyword:shard,own_compatibility_surface_only,FPR-P2,not_cluster_query
cassandra,reference_surface:range_placement,cluster.placement.assign_tablet_range,required_new:sblr.cluster.placement.v1:cluster.placement.assign_tablet_range,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/cassandra/5.0.8/release-notes/RELEASE_NOTES_SOURCE.txt#keyword:range,own_compatibility_surface_only,FPR-P2,not_cluster_query
cassandra,reference_surface:tablet_placement,cluster.placement.assign_tablet_range,required_new:sblr.cluster.placement.v1:cluster.placement.assign_tablet_range,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/cassandra/5.0.8/release-notes/RELEASE_NOTES_SOURCE.txt#keyword:tablet,own_compatibility_surface_only,FPR-P2,not_cluster_query
cassandra,reference_surface:partition_distribution,cluster.placement.validate_partition_distribution,required_new:sblr.cluster.placement.v1:cluster.placement.validate_partition_distribution,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/cassandra/5.0.8/release-notes/RELEASE_NOTES_SOURCE.txt#keyword:partition,own_compatibility_surface_only,FPR-P2,not_cluster_query
cassandra,reference_surface:leader_election,cluster.node.set_role,sblr.cluster.control.v3:cluster.node.set_role,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/cassandra/5.0.8/source/CHANGES.txt#keyword:leader,own_compatibility_surface_only,FPR-P2,not_cluster_query
cassandra,reference_surface:raft_consensus,cluster.tx.validate_finality_proof,required_new:sblr.cluster.transaction.v1:cluster.tx.validate_finality_proof,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/cassandra/5.0.8/source/test/resources/glove.3K.50d.txt#keyword:raft,own_compatibility_surface_only,FPR-P2,not_cluster_query
cassandra,reference_surface:changefeed_stream,cluster.metrics.emit_event,sblr.cluster.report.v3:cluster.metrics.emit_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/specifications/chapters/compatibilitys/cassandra/appendix-compatibility-cassandra-exact-extraction-slice-1-release-surface-catalog-api-and-conformance-inventory-profile.md#keyword:changefeed,own_compatibility_surface_only,FPR-P2,not_cluster_query
cassandra,reference_surface:failover_control,cluster.node.admit_member,sblr.cluster.control.v3:cluster.node.admit_member,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/specifications/chapters/compatibilitys/cassandra/appendix-compatibility-cassandra-exact-extraction-slice-6-consistency-replication-migration-compaction-and-optimizer-profile.md#keyword:failover,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,reference_surface:cluster_topology_or_control,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_catalog_seeds/clickhouse/clickhouse_25_beta2_full_seed_manifest.yaml#keyword:cluster,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,reference_surface:replication_control,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_catalog_seeds/clickhouse/clickhouse_25_beta2_full_seed_manifest.yaml#keyword:replication,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,reference_surface:cdc_stream,cluster.metrics.emit_event,sblr.cluster.report.v3:cluster.metrics.emit_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_catalog_seeds/clickhouse/clickhouse_25_beta2_full_seed_manifest.yaml#keyword:cdc,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,reference_surface:placement_policy,cluster.security.validate_policy_version,required_new:sblr.cluster.security.v1:cluster.security.validate_policy_version,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_catalog_seeds/clickhouse/clickhouse_25_beta2_full_seed_manifest.yaml#keyword:placement,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,reference_surface:replica_control,cluster.tx.begin_distributed,required_new:sblr.cluster.transaction.v1:cluster.tx.begin_distributed,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_catalog_seeds/clickhouse/clickhouse_25_beta2_full_seed_manifest.yaml#keyword:replica,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,reference_surface:distributed_execution_or_control,cluster.query.plan_distributed,required_new:sblr.cluster.query.v1:cluster.query.plan_distributed,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/clickhouse/25.12.10.7-stable/release-notes/RELEASE_NOTES_SOURCE.md#keyword:distributed,own_compatibility_surface_only,FPR-P2,cross_node_distributed_cluster_authority_not_local_query
clickhouse,reference_surface:raft_consensus,cluster.tx.validate_finality_proof,required_new:sblr.cluster.transaction.v1:cluster.tx.validate_finality_proof,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/clickhouse/25.12.10.7-stable/source/.github/copilot-instructions.md#keyword:raft,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,reference_surface:shard_placement,cluster.placement.assign_tablet_range,required_new:sblr.cluster.placement.v1:cluster.placement.assign_tablet_range,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/clickhouse/25.12.10.7-stable/source/CHANGELOG.md#keyword:shard,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,reference_surface:range_placement,cluster.placement.assign_tablet_range,required_new:sblr.cluster.placement.v1:cluster.placement.assign_tablet_range,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/clickhouse/25.12.10.7-stable/source/CHANGELOG.md#keyword:range,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,reference_surface:failover_control,cluster.node.admit_member,sblr.cluster.control.v3:cluster.node.admit_member,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/clickhouse/25.12.10.7-stable/source/CHANGELOG.md#keyword:failover,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,reference_surface:leader_election,cluster.node.set_role,sblr.cluster.control.v3:cluster.node.set_role,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/clickhouse/25.12.10.7-stable/source/CHANGELOG.md#keyword:leader,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,reference_surface:partition_distribution,cluster.placement.validate_partition_distribution,required_new:sblr.cluster.placement.v1:cluster.placement.validate_partition_distribution,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/clickhouse/25.12.10.7-stable/source/CHANGELOG.md#keyword:partition,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,reference_surface:tablet_placement,cluster.placement.assign_tablet_range,required_new:sblr.cluster.placement.v1:cluster.placement.assign_tablet_range,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/clickhouse/25.12.10.7-stable/source/docs/changelogs/archive/v23.6.1.1524-stable.md#keyword:tablet,own_compatibility_surface_only,FPR-P2,not_cluster_query
clickhouse,reference_surface:galera_cluster,cluster.reconcile.apply_merge_policy,required_new:sblr.cluster.reconciliation.v1:cluster.reconcile.apply_merge_policy,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/clickhouse/25.12.10.7-stable/source/tests/queries/0_stateless/data_json/ghdata_sample.json#keyword:galera,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,reference_surface:cluster_topology_or_control,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility-engines/cockroachdb/capability-summary.md#keyword:cluster,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,reference_surface:distributed_execution_or_control,cluster.query.plan_distributed,required_new:sblr.cluster.query.v1:cluster.query.plan_distributed,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility-engines/cockroachdb/capability-summary.md#keyword:distributed,own_compatibility_surface_only,FPR-P2,cross_node_distributed_cluster_authority_not_local_query
cockroachdb,reference_surface:changefeed_stream,cluster.metrics.emit_event,sblr.cluster.report.v3:cluster.metrics.emit_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility-engines/cockroachdb/capability-summary.md#keyword:changefeed,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,reference_surface:range_placement,cluster.placement.assign_tablet_range,required_new:sblr.cluster.placement.v1:cluster.placement.assign_tablet_range,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility-engines/cockroachdb/capability-summary.md#keyword:range,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,reference_surface:shard_placement,cluster.placement.assign_tablet_range,required_new:sblr.cluster.placement.v1:cluster.placement.assign_tablet_range,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility-engines/cockroachdb/index-and-optimizer-summary.md#keyword:shard,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,reference_surface:placement_policy,cluster.security.validate_policy_version,required_new:sblr.cluster.security.v1:cluster.security.validate_policy_version,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility-engines/cockroachdb/transaction-and-cluster-summary.md#keyword:placement,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,reference_surface:replica_control,cluster.tx.begin_distributed,required_new:sblr.cluster.transaction.v1:cluster.tx.begin_distributed,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility-engines/cockroachdb/transaction-and-cluster-summary.md#keyword:replica,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,reference_surface:replication_control,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_catalog_seeds/cockroachdb/cockroachdb_beta2_full_seed_manifest.yaml#keyword:replication,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,reference_surface:cdc_stream,cluster.metrics.emit_event,sblr.cluster.report.v3:cluster.metrics.emit_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_catalog_seeds/cockroachdb/cockroachdb_beta2_full_seed_manifest.yaml#keyword:cdc,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,reference_surface:raft_consensus,cluster.tx.validate_finality_proof,required_new:sblr.cluster.transaction.v1:cluster.tx.validate_finality_proof,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/cockroachdb/26.1.3/source/.claude/agents/crdb-issue-finder.md#keyword:raft,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,reference_surface:partition_distribution,cluster.placement.validate_partition_distribution,required_new:sblr.cluster.placement.v1:cluster.placement.validate_partition_distribution,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/cockroachdb/26.1.3/source/CLAUDE.md#keyword:partition,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,reference_surface:leader_election,cluster.node.set_role,sblr.cluster.control.v3:cluster.node.set_role,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/cockroachdb/26.1.3/source/cloud/kubernetes/prometheus/alert-rules.yaml#keyword:leader,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,reference_surface:failover_control,cluster.node.admit_member,sblr.cluster.control.v3:cluster.node.admit_member,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/cockroachdb/26.1.3/source/docs/RFCS/20150731_local_intent_resolution.md#keyword:failover,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,reference_surface:tablet_placement,cluster.placement.assign_tablet_range,required_new:sblr.cluster.placement.v1:cluster.placement.assign_tablet_range,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_release_acquisition/cockroachdb/26.1.3/source/docs/RFCS/20191009_temp_tables.md#keyword:tablet,own_compatibility_surface_only,FPR-P2,not_cluster_query
dolt,reference_surface:cluster_topology_or_control,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility-engines/dolt/capability-summary.md#keyword:cluster,own_compatibility_surface_only,FPR-P2,not_cluster_query
dolt,reference_surface:cdc_stream,cluster.metrics.emit_event,sblr.cluster.report.v3:cluster.metrics.emit_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,docs/reference/compatibility_catalog_seeds/dolt/dolt_beta2_full_seed_manifest.yaml#keyword:cdc,own_compatibility_surface_only,FPR-P2,not_cluster_query
